Filename	WC	WPS	Qmarks	Sixltr	Dic	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler
7993742.txt	12533	12533.00	0	14.15	79.89	50.16	16.72	11.63	8.11	0.44	1.92	0.63	0.52	5.10	4.99	12.19	6.49	2.47	8.03	0.70	4.99	10.41	4.77	1.18	2.33	1.62	0.45	7.69	0.29	0.33	0.86	7.17	5.13	2.19	0.44	0.86	0.37	13.22	1.93	1.25	1.38	1.86	1.33	0.36	3.18	2.50	3.01	1.18	0.62	0.93	2.99	1.03	0.78	0.57	0.67	12.05	1.62	5.29	5.56	1.34	1.22	1.79	0.42	0.44	0.48	0.20	0.98	0.25	0.42
13803222.txt	11880	11880.00	0	18.36	73.99	43.62	9.09	6.57	3.93	0.22	1.23	0.96	0.24	2.52	5.09	11.57	5.93	1.86	8.19	0.68	3.36	13.07	5.35	0.72	2.28	2.07	0.01	6.75	0.29	0.29	0.58	9.23	8.04	1.30	0.19	0.39	0.40	12.37	1.54	0.96	1.21	1.52	1.25	0.45	4.68	1.54	3.59	2.40	0.44	0.46	3.09	0.30	0.19	1.17	1.51	14.29	1.80	7.13	5.89	1.38	1.89	2.27	0.55	0.45	0.26	0.07	0.33	0.06	0.18
14498792.txt	11900	11900.00	0	11.38	74.73	44.95	14.93	10.61	5.47	0.34	1.67	2.55	0.56	4.33	4.15	11.80	5.34	3.52	6.69	0.52	5.01	10.12	4.93	0.99	1.82	1.51	2.41	9.66	0.60	0.20	1.13	7.66	4.34	3.45	0.20	2.35	0.43	11.45	1.37	0.90	1.34	1.73	1.23	0.43	3.13	2.24	2.77	1.24	0.87	0.53	3.97	2.28	0.40	1.47	0.42	12.16	1.71	5.46	5.49	0.98	1.24	1.48	0.59	0.72	0.29	0.15	1.76	0.08	0.66
14551895.txt	6812	6812.00	0	14.96	68.04	38.90	12.27	7.43	4.40	0.48	1.64	0.68	0.22	4.84	5.14	9.89	4.80	2.47	6.28	0.48	3.60	8.44	2.48	1.06	1.64	2.45	0.88	6.62	0.38	0.10	0.90	7.28	4.98	2.47	0.18	1.25	0.41	10.72	1.42	0.98	0.73	1.75	1.59	0.54	2.29	1.92	2.47	1.09	0.65	0.54	2.70	1.00	0.32	0.65	0.85	12.65	1.79	5.92	5.02	1.01	1.32	2.72	0.43	0.44	0.62	0.28	1.07	0.12	0.23
15522399.txt	14863	14863.00	0	15.96	74.85	45.62	12.38	8.27	5.76	0.87	1.05	0.20	0.39	4.11	5.77	10.25	5.12	2.21	6.59	0.69	4.39	12.42	3.46	0.75	2.39	2.92	0.12	5.62	0.34	0.09	0.47	5.12	3.69	1.51	0.21	0.37	0.47	13.10	1.80	0.87	1.71	2.89	1.40	0.44	3.14	2.21	2.14	1.07	0.39	0.52	1.51	0.32	0.37	0.11	0.73	16.38	2.39	6.88	7.52	1.59	1.82	1.81	1.03	1.16	0.19	0.05	0.24	0.07	0.42
16199382.txt	16668	16668.00	0	14.68	79.01	47.81	14.13	9.97	6.95	0.19	1.34	1.01	0.47	4.16	4.43	11.94	6.20	3.02	7.33	0.63	5.82	10.66	4.74	1.06	2.54	1.86	0.31	6.79	0.20	0.38	0.86	6.49	4.25	2.33	0.40	0.83	0.44	13.47	1.85	1.36	1.49	2.48	1.34	0.55	2.68	2.94	2.46	0.84	0.44	0.85	3.70	1.34	0.63	0.43	1.63	14.55	1.84	5.75	7.01	1.15	1.56	2.14	0.35	0.55	0.31	0.05	0.93	0.08	0.25
17078060.txt	13497	13497.00	0	22.03	69.07	35.39	8.27	5.74	2.70	1.33	1.08	0.39	0.25	2.53	4.62	7.31	3.32	1.53	5.08	0.41	2.99	12.26	2.94	0.36	1.67	1.37	0.03	6.91	0.55	0.24	0.91	5.99	5.44	0.59	0.13	0.11	0.16	8.43	1.07	0.83	0.46	0.93	0.67	0.30	3.39	0.93	3.59	2.11	0.41	0.77	5.38	0.75	0.33	0.47	3.90	16.63	2.45	7.49	6.63	1.59	1.42	4.53	1.20	0.68	0.31	0.02	0.33	0.03	0.22
17205623.txt	14167	14167.00	0	19.16	48.18	28.05	6.79	4.48	1.84	0.57	1.25	0.47	0.35	2.32	4.31	5.89	3.35	1.14	3.92	0.41	2.49	6.78	2.69	1.20	1.47	1.57	0.00	5.13	0.30	0.19	0.40	5.54	4.61	0.95	0.28	0.16	0.28	6.68	0.66	0.66	0.65	0.80	0.78	0.30	2.17	1.02	1.97	1.04	0.25	0.38	1.98	0.35	0.42	0.40	0.85	8.61	0.91	3.96	3.66	1.12	1.22	1.19	0.44	0.45	0.23	0.15	0.92	0.08	0.09
17494355.txt	7275	7275.00	0	12.27	75.68	45.33	14.69	10.09	5.14	0.73	3.16	0.65	0.41	4.60	4.27	11.64	6.14	2.34	7.74	0.56	5.15	9.61	4.03	1.20	1.97	1.62	0.26	9.84	0.33	0.44	1.40	6.79	5.24	1.72	0.10	0.76	0.30	11.92	1.32	1.24	1.15	1.72	1.29	0.32	3.30	2.39	2.41	0.87	0.85	0.49	1.77	0.56	0.49	0.18	0.55	13.54	1.83	4.99	6.85	1.36	1.62	2.76	0.52	0.67	0.45	0.29	1.28	0.18	0.33
17577314.txt	8564	8564.00	0	15.75	73.10	44.77	14.11	9.91	5.06	0.79	3.06	0.57	0.43	4.19	5.59	10.75	5.44	2.15	6.78	0.78	3.84	10.19	3.62	0.97	2.25	1.95	0.13	8.59	0.21	0.21	0.76	6.24	4.48	1.80	0.23	0.54	0.49	11.95	1.81	1.40	1.26	1.76	1.72	0.49	2.58	1.90	2.58	1.03	0.51	0.77	2.14	0.88	0.39	0.50	0.53	14.51	1.90	6.08	6.56	1.34	2.35	1.51	0.30	0.50	0.34	0.23	0.39	0.08	0.20
17675384.txt	11163	11163.00	0	40.20	64.31	20.33	1.98	0.96	0.13	0.39	0.31	0.00	0.12	1.02	2.81	3.93	1.76	0.54	2.62	0.45	1.20	10.27	1.47	0.24	0.68	2.44	0.01	4.17	0.05	0.14	0.52	3.86	2.26	1.59	0.28	0.64	0.33	7.53	0.98	1.97	0.64	0.58	0.47	0.71	2.11	0.43	2.11	1.02	0.46	0.63	1.35	0.59	0.44	0.17	0.19	10.90	1.78	5.41	3.40	21.19	1.93	1.74	0.35	10.74	0.14	0.10	0.02	0.00	0.06
17732558.txt	9558	9558.00	0	15.65	80.35	46.00	13.96	9.14	6.57	0.72	1.35	0.25	0.25	4.81	5.56	11.10	5.58	2.63	7.01	0.56	4.75	10.70	3.95	0.90	2.34	1.65	0.91	5.62	0.44	0.13	0.53	7.95	5.33	2.77	0.33	1.29	0.35	11.62	1.50	1.22	1.14	1.83	1.53	0.43	2.77	1.90	3.25	1.49	0.60	0.94	3.33	1.29	0.91	0.53	0.71	16.03	2.08	5.62	8.60	0.99	1.60	3.04	0.97	0.44	0.65	0.30	0.99	0.28	0.40
18567238.txt	8370	8370.00	0	18.91	74.43	39.32	11.41	7.20	4.37	0.25	2.16	0.11	0.31	4.21	4.47	11.05	4.79	1.66	8.18	0.47	5.46	8.36	3.54	0.67	2.15	2.11	0.08	6.36	0.12	0.42	0.56	10.93	8.78	2.19	0.32	0.42	0.60	10.87	1.36	0.96	1.33	1.88	1.53	0.72	1.95	2.05	2.99	1.33	0.74	0.50	3.95	1.27	1.03	1.04	0.67	13.91	1.76	4.10	7.67	1.08	1.72	2.80	0.24	0.26	0.36	0.12	1.94	0.62	0.27
18606524.txt	10008	10008.00	0	14.81	76.02	46.81	14.17	9.57	5.64	0.60	2.27	0.52	0.55	4.60	4.81	12.31	6.09	1.72	8.64	0.69	5.13	10.58	4.12	0.98	1.99	2.20	0.69	7.74	0.20	0.21	0.77	7.88	5.45	2.53	0.21	1.22	0.59	12.92	1.49	1.07	1.64	1.65	1.34	0.59	3.47	2.47	2.24	1.14	0.36	0.68	2.40	0.90	0.43	0.67	0.48	14.64	1.95	5.55	7.26	1.01	2.09	2.04	0.32	0.38	0.26	0.08	0.82	0.17	0.28
18751261.txt	7670	7670.00	0	11.71	72.16	45.20	14.88	9.80	6.49	0.42	1.53	0.91	0.46	5.07	4.45	12.58	7.07	2.62	8.38	0.74	4.92	8.92	4.68	1.15	2.32	2.06	0.39	8.03	0.39	0.25	0.93	5.81	3.69	2.18	0.17	0.83	0.51	11.62	1.32	1.15	1.71	1.81	1.42	0.34	2.57	2.36	2.74	1.51	0.65	0.43	2.87	0.78	0.64	0.78	0.89	11.36	1.68	4.86	4.99	0.91	1.15	1.59	0.37	0.64	0.43	0.43	0.96	0.07	0.47
18790606.txt	12719	12719.00	0	13.00	76.81	46.91	14.41	10.02	6.23	0.61	1.90	0.75	0.53	4.39	5.74	11.64	6.41	2.81	7.22	0.76	4.28	10.45	4.03	0.83	2.32	2.17	0.80	8.95	0.65	0.20	1.25	6.48	3.95	2.64	0.21	1.22	0.45	12.16	1.56	1.27	1.37	1.65	1.64	0.37	2.83	2.20	2.54	0.93	0.83	0.61	2.67	0.79	0.47	0.75	0.85	13.09	1.62	5.79	6.02	1.91	1.33	2.53	0.50	0.68	0.76	0.17	0.64	0.07	0.43
19411307.txt	12232	12232.00	0	34.68	43.15	15.99	3.62	2.35	1.14	0.25	0.69	0.19	0.10	1.27	3.27	3.87	1.43	0.47	2.78	0.27	1.04	4.54	1.45	0.41	0.69	0.72	0.04	4.46	0.55	0.33	0.51	6.03	5.26	0.76	0.15	0.34	0.08	4.70	0.62	0.59	0.22	0.47	0.68	0.34	1.66	0.41	2.23	1.29	0.24	0.43	4.74	0.80	0.56	1.09	2.34	10.58	1.97	3.88	4.60	1.10	1.41	3.65	0.70	0.29	0.48	0.08	0.09	0.07	0.09
19578260.txt	13193	13193.00	0	11.85	77.88	46.95	16.83	12.47	8.46	0.42	1.99	1.14	0.46	4.37	3.99	11.80	5.50	3.37	7.26	0.41	5.32	9.32	5.00	1.23	2.10	1.58	1.59	8.82	0.66	0.39	1.14	7.69	4.54	3.40	0.33	2.00	0.42	12.96	1.68	1.34	1.44	1.83	1.67	0.42	3.10	2.64	2.59	1.08	0.53	0.86	4.02	1.87	0.70	1.33	0.53	12.34	1.56	5.09	6.38	1.27	1.20	1.22	0.58	0.89	0.29	0.18	1.55	0.17	0.64
