Filename	WC	WPS	Qmarks	Sixltr	Dic	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler
13706302.txt	14569	14569.00	0	13.90	79.54	49.74	14.24	10.08	6.34	0.52	1.82	0.74	0.66	4.17	4.76	12.92	6.77	3.75	7.36	0.45	5.56	11.63	5.39	1.21	2.56	1.77	0.08	6.60	0.17	0.10	0.36	7.27	5.52	1.87	0.38	0.33	0.31	13.77	1.74	1.48	2.19	2.98	0.87	0.44	2.63	3.22	1.96	0.87	0.50	0.42	2.79	1.15	0.97	0.22	0.55	13.62	1.34	5.25	6.96	1.85	1.44	1.54	0.58	0.64	0.25	0.10	0.86	0.28	0.14
15110890.txt	14902	14902.00	0	21.19	66.06	37.55	6.62	3.85	0.33	1.49	1.27	0.39	0.37	2.76	4.67	8.38	4.01	1.42	5.54	0.58	3.28	13.88	3.38	0.76	1.90	2.80	0.05	7.04	0.05	0.09	0.55	7.08	5.29	1.78	0.23	0.54	0.65	11.76	1.20	1.13	0.91	1.63	0.93	1.16	3.66	1.42	1.83	0.90	0.50	0.31	1.01	0.38	0.25	0.31	0.15	14.58	1.83	7.02	5.65	2.28	1.87	1.89	0.15	1.03	0.19	0.48	0.42	0.14	0.08
15854134.txt	8900	8900.00	0	26.44	52.98	28.12	4.56	2.91	0.38	0.53	1.78	0.06	0.17	1.65	4.26	4.67	2.29	0.44	3.46	0.42	2.12	11.12	2.88	0.44	1.91	4.61	0.03	5.73	0.10	0.18	0.28	5.76	5.12	0.64	0.09	0.29	0.11	11.02	1.91	3.61	0.53	0.57	0.49	0.19	2.90	0.76	1.73	1.12	0.22	0.20	0.70	0.28	0.18	0.12	0.12	9.06	1.25	4.34	3.22	3.93	3.62	1.96	0.26	1.46	0.09	0.11	0.13	0.04	0.02
17903970.txt	8284	8284.00	0	16.92	72.21	43.25	11.66	7.23	4.03	0.42	1.48	0.74	0.56	4.43	5.19	10.07	5.50	2.85	5.96	0.60	4.30	10.74	4.21	0.87	1.94	2.21	0.74	7.04	0.17	0.13	0.75	6.65	4.82	1.94	0.21	0.94	0.33	11.24	1.44	1.13	1.15	1.76	0.99	0.41	2.82	2.09	3.03	1.29	1.00	0.53	2.54	1.21	0.35	0.60	0.49	13.58	1.39	6.25	5.95	1.71	1.21	2.18	0.54	0.60	0.48	0.25	0.91	0.21	0.25
18573485.txt	5907	5907.00	0	13.37	65.87	40.12	12.58	8.06	5.59	1.00	0.78	0.32	0.37	4.52	4.49	10.78	5.99	1.90	7.67	0.49	4.15	8.77	3.67	0.71	2.13	2.01	0.34	7.60	0.51	0.14	0.74	5.13	3.71	1.44	0.17	0.58	0.29	11.29	1.29	1.29	1.46	1.46	1.32	0.36	2.83	1.68	3.11	1.25	1.00	0.64	1.74	0.78	0.34	0.42	0.34	11.26	1.96	4.96	4.30	0.88	0.98	2.20	0.10	0.34	0.44	0.29	0.81	0.08	0.22
19517250.txt	13353	13353.00	0	17.05	75.89	43.02	12.01	8.49	3.65	1.77	2.52	0.21	0.34	3.52	5.79	10.32	4.94	1.69	7.26	0.58	3.05	13.01	2.50	0.31	2.28	1.45	0.02	9.29	0.62	0.14	0.64	7.18	6.59	0.61	0.05	0.17	0.19	11.95	1.70	1.38	0.97	1.33	1.33	0.37	4.55	0.86	3.87	0.97	2.22	0.53	1.51	0.41	0.50	0.45	0.16	15.52	2.03	7.15	6.27	2.70	2.44	4.28	0.49	0.94	1.51	0.06	0.60	0.11	0.13
19836186.txt	14155	14155.00	0	17.43	64.86	36.51	7.26	4.42	1.44	0.83	0.99	0.76	0.41	2.84	5.44	8.53	4.98	2.19	4.77	0.73	2.97	11.42	3.11	0.59	2.33	3.32	0.06	6.62	0.20	0.16	0.54	6.38	5.11	1.31	0.21	0.39	0.32	9.31	1.26	1.06	1.05	1.28	1.01	0.38	2.54	1.28	1.79	0.83	0.61	0.30	1.19	0.45	0.30	0.42	0.10	15.46	1.50	5.54	8.29	2.05	2.83	2.30	0.23	0.57	0.25	0.21	0.29	0.06	0.16
20362830.txt	12971	12971.00	0	16.00	73.39	42.46	10.01	5.75	2.82	0.80	1.27	0.48	0.38	4.26	5.62	11.48	6.54	2.42	7.33	0.72	3.99	10.72	3.21	1.13	2.05	2.23	0.49	6.61	0.17	0.12	0.66	8.60	5.93	2.68	0.41	0.93	0.50	12.13	1.71	1.09	1.13	1.92	1.36	0.47	3.11	1.97	2.20	1.10	0.56	0.37	3.17	0.61	0.40	0.35	1.91	13.24	1.68	5.92	5.79	1.62	1.61	2.48	0.35	0.86	0.35	0.15	0.81	0.44	0.25
20462840.txt	10945	10945.00	0	13.02	75.79	46.02	12.85	8.41	5.90	0.23	0.99	0.59	0.70	4.43	5.83	11.50	5.80	2.86	7.42	0.65	5.13	10.35	5.10	0.69	2.17	2.68	0.25	6.41	0.82	0.13	0.61	7.36	5.86	1.62	0.23	0.61	0.34	10.38	1.15	1.10	1.14	1.34	0.81	0.38	3.12	1.70	2.51	1.48	0.47	0.39	1.93	0.62	0.36	0.71	0.35	14.35	1.34	6.18	6.91	0.84	1.18	2.99	0.74	0.69	0.26	0.16	0.83	0.10	0.21
22776704.txt	13454	13454.00	0	17.15	71.99	43.42	11.13	6.53	3.64	0.85	1.09	0.39	0.56	4.59	5.69	9.54	5.62	2.28	6.14	0.53	4.15	10.81	4.18	0.94	2.30	1.69	0.09	6.41	0.26	0.12	0.72	5.21	3.26	2.02	0.35	0.50	0.39	12.68	2.13	1.40	1.10	1.95	1.17	0.58	2.94	2.29	2.39	1.06	0.48	0.61	1.65	0.56	0.30	0.27	0.56	12.39	1.52	5.72	5.06	2.88	1.62	2.19	0.58	0.83	0.25	0.25	0.59	0.17	0.17
